,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
87,33,Private,202051,College,14,Married,White-collar,Husband,White,Male,0,0,50,US,<50K
88,30,Private,54334,High-school,5,Single,Clerical/Sales,Not-in-family,White,Male,0,0,40,US,<50K
89,43,Govt,410867,College,16,Single,White-collar,Not-in-family,White,Female,0,0,50,US,>50K
90,57,Private,249977,Some-college,11,Married,White-collar,Husband,White,Male,0,0,40,US,<50K
91,37,Private,286730,Some-college,10,Separated,Blue-collar,Unmarried,White,Female,0,0,40,US,<50K
92,28,Private,212563,Some-college,10,Separated,Blue-collar,Unmarried,Black,Female,0,0,25,US,<50K
93,30,Private,117747,High-school,9,Married,Clerical/Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,Non-US,<50K
94,34,Govt,226296,College,13,Married,Blue-collar,Husband,White,Male,0,0,40,US,>50K
95,29,Govt,115585,Some-college,10,Single,Blue-collar,Not-in-family,White,Male,0,0,50,US,<50K
96,48,Self_emp,191277,College,16,Married,White-collar,Husband,White,Male,0,1902,60,US,>50K
97,37,Private,202683,Some-college,10,Married,Clerical/Sales,Husband,White,Male,0,0,48,US,>50K
98,48,Private,171095,Some-college,12,Separated,White-collar,Unmarried,White,Female,0,0,40,Non-US,<50K
99,32,Govt,249409,High-school,9,Single,Service/Manual,Own-child,Black,Male,0,0,40,US,<50K
100,76,Private,124191,College,14,Married,White-collar,Husband,White,Male,0,0,40,US,>50K
101,44,Private,198282,College,13,Married,White-collar,Husband,White,Male,15024,0,60,US,>50K
102,47,Self_emp,149116,College,14,Single,White-collar,Not-in-family,White,Female,0,0,50,US,<50K
103,20,Private,188300,Some-college,10,Single,White-collar,Own-child,White,Female,0,0,40,US,<50K
104,29,Private,103432,High-school,9,Single,Blue-collar,Not-in-family,White,Male,0,0,40,US,<50K
105,32,Self_emp,317660,High-school,9,Married,Blue-collar,Husband,White,Male,7688,0,40,US,>50K
106,17,null,304873,High-school,6,Single,null,Own-child,White,Female,34095,0,32,US,<50K
107,30,Private,194901,High-school,7,Single,Blue-collar,Own-child,White,Male,0,0,40,US,<50K
108,31,Govt,189265,High-school,9,Single,Clerical/Sales,Not-in-family,White,Female,0,0,40,US,<50K
109,42,Private,124692,High-school,9,Married,Blue-collar,Husband,White,Male,0,0,40,US,<50K
110,24,Private,432376,College,13,Single,Clerical/Sales,Other-relative,White,Male,0,0,40,US,<50K
111,38,Private,65324,College,15,Married,White-collar,Husband,White,Male,0,0,40,US,>50K
112,56,Self_emp,335605,High-school,9,Married,Service/Manual,Husband,White,Male,0,1887,50,Non-US,>50K
113,28,Private,377869,Some-college,10,Married,Clerical/Sales,Wife,White,Female,4064,0,25,US,<50K
114,36,Private,102864,High-school,9,Single,Blue-collar,Own-child,White,Female,0,0,40,US,<50K
115,53,Private,95647,High-school,5,Married,Blue-collar,Husband,White,Male,0,0,50,US,<50K
116,56,Self_emp,303090,Some-college,10,Married,Clerical/Sales,Husband,White,Male,0,0,50,US,<50K
117,49,Govt,197371,Some-college,11,Married,Blue-collar,Husband,Black,Male,0,0,40,US,>50K
118,55,Private,247552,Some-college,10,Married,Clerical/Sales,Husband,White,Male,0,0,56,US,<50K
119,22,Private,102632,High-school,9,Single,Blue-collar,Not-in-family,White,Male,0,0,41,US,<50K
120,21,Private,199915,Some-college,10,Single,Service/Manual,Own-child,White,Female,0,0,40,US,<50K
121,40,Private,118853,College,13,Married,White-collar,Husband,White,Male,0,0,60,US,<50K
122,30,Private,77143,College,13,Single,White-collar,Own-child,Black,Male,0,0,40,Non-US,<50K
123,29,Govt,267989,College,13,Married,White-collar,Husband,White,Male,0,0,50,US,>50K
124,19,Private,301606,Some-college,10,Single,Service/Manual,Own-child,Black,Male,0,0,35,US,<50K
125,47,Private,287828,College,13,Married,White-collar,Wife,White,Female,0,0,40,US,>50K
126,20,Private,111697,Some-college,10,Single,Clerical/Sales,Own-child,White,Female,0,1719,28,US,<50K
127,31,Private,114937,Some-college,12,Married,Clerical/Sales,Husband,White,Male,0,0,40,US,>50K
128,35,null,129305,High-school,9,Married,null,Husband,White,Male,0,0,40,US,<50K
129,39,Private,365739,Some-college,10,Separated,Blue-collar,Not-in-family,White,Male,0,0,40,US,<50K
130,28,Private,69621,Some-college,12,Single,Clerical/Sales,Not-in-family,White,Female,0,0,60,US,<50K
131,24,Private,43323,High-school,9,Single,Service/Manual,Not-in-family,White,Female,0,1762,40,US,<50K
132,38,Self_emp,120985,High-school,9,Married,Blue-collar,Husband,White,Male,4386,0,35,US,<50K
133,37,Private,254202,College,13,Married,Clerical/Sales,Husband,White,Male,0,0,50,US,<50K
134,46,Private,146195,Some-college,12,Separated,White-collar,Not-in-family,Black,Female,0,0,36,US,<50K
135,38,Govt,125933,College,14,Married,White-collar,Husband,White,Male,0,0,40,Non-US,>50K
136,43,Self_emp,56920,High-school,9,Married,Blue-collar,Husband,White,Male,0,0,60,US,<50K
137,27,Private,163127,Some-college,11,Married,Clerical/Sales,Wife,White,Female,0,0,35,US,<50K
138,20,Private,34310,Some-college,10,Single,Clerical/Sales,Own-child,White,Male,0,0,20,US,<50K
139,49,Private,81973,Some-college,10,Married,Blue-collar,Husband,Asian-Pac-Islander,Male,0,0,40,US,>50K
140,61,Self_emp,66614,High-school,9,Married,Blue-collar,Husband,White,Male,0,0,40,US,<50K
141,27,Private,232782,Some-college,10,Single,Clerical/Sales,Own-child,White,Female,0,0,40,US,<50K
142,19,Private,316868,Some-college,10,Single,Service/Manual,Own-child,White,Male,0,0,30,Non-US,<50K
143,45,Private,196584,Some-college,11,Single,White-collar,Not-in-family,White,Female,0,1564,40,US,>50K
144,70,Private,105376,Some-college,10,Single,White-collar,Other-relative,White,Male,0,0,40,US,<50K
145,31,Private,185814,High-school,9,Single,Blue-collar,Unmarried,Black,Female,0,0,30,US,<50K
146,22,Private,175374,Some-college,10,Married,Service/Manual,Husband,White,Male,0,0,24,US,<50K
147,36,Private,108293,High-school,9,Separated,Service/Manual,Unmarried,White,Female,0,0,24,US,<50K
148,64,Private,181232,High-school,7,Married,Blue-collar,Husband,White,Male,0,2179,40,US,<50K
149,43,null,174662,Some-college,10,Separated,null,Not-in-family,White,Female,0,0,40,US,<50K
150,47,Govt,186009,Some-college,10,Separated,Clerical/Sales,Unmarried,White,Female,0,0,38,Non-US,<50K
151,34,Private,198183,High-school,9,Single,Clerical/Sales,Not-in-family,White,Female,0,0,40,US,<50K
152,33,Private,163003,College,13,Single,White-collar,Other-relative,Asian-Pac-Islander,Female,0,0,40,Non-US,<50K
153,21,Private,296158,High-school,9,Single,Blue-collar,Own-child,White,Male,0,0,35,US,<50K
154,52,null,252903,High-school,9,Separated,null,Not-in-family,White,Male,0,0,45,US,>50K
155,48,Private,187715,High-school,9,Married,Blue-collar,Husband,White,Male,0,0,46,US,<50K
156,23,Private,214542,College,13,Single,Blue-collar,Not-in-family,White,Male,0,0,40,US,<50K
157,71,Self_emp,494223,Some-college,10,Separated,Clerical/Sales,Unmarried,Black,Male,0,1816,2,US,<50K
158,29,Private,191535,High-school,9,Separated,Blue-collar,Not-in-family,White,Male,0,0,60,US,<50K
159,42,Private,228456,College,13,Separated,Service/Manual,Other-relative,Black,Male,0,0,50,US,<50K
160,68,null,38317,Lower-school,2,Separated,null,Not-in-family,White,Female,0,0,20,US,<50K
161,25,Private,252752,High-school,9,Single,Service/Manual,Unmarried,White,Female,0,0,40,US,<50K
162,44,Self_emp,78374,College,14,Separated,White-collar,Unmarried,Asian-Pac-Islander,Female,0,0,40,US,<50K
163,28,Private,88419,High-school,9,Single,White-collar,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Non-US,<50K
164,45,Self_emp,201080,College,14,Married,Clerical/Sales,Husband,White,Male,0,0,40,US,>50K
165,36,Private,207157,Some-college,10,Separated,Service/Manual,Unmarried,White,Female,0,0,40,Non-US,<50K
166,39,Govt,235485,Some-college,12,Single,White-collar,Not-in-family,White,Male,0,0,42,US,<50K
167,46,Govt,102628,College,14,Separated,Blue-collar,Unmarried,White,Male,0,0,40,US,<50K
168,18,Private,25828,High-school,7,Single,Blue-collar,Own-child,White,Male,0,0,16,US,<50K
169,66,Govt,54826,Some-college,11,Separated,White-collar,Not-in-family,White,Female,0,0,20,US,<50K
170,27,Private,124953,High-school,9,Single,Service/Manual,Not-in-family,White,Male,0,1980,40,US,<50K
171,28,Govt,175325,High-school,9,Married,Blue-collar,Husband,White,Male,0,0,40,US,<50K
172,51,Private,96062,Some-college,10,Married,Clerical/Sales,Husband,White,Male,0,1977,40,US,>50K
173,27,Private,428030,College,13,Single,Blue-collar,Not-in-family,White,Male,0,0,50,US,<50K
174,28,Govt,149624,College,13,Married,White-collar,Husband,White,Male,0,0,40,US,>50K
175,27,Private,253814,High-school,9,Married,Clerical/Sales,Unmarried,White,Female,0,0,25,US,<50K
176,21,Private,312956,High-school,9,Single,Blue-collar,Own-child,Black,Male,0,0,40,US,<50K
177,34,Private,483777,High-school,9,Single,Blue-collar,Not-in-family,Black,Male,0,0,40,US,<50K
178,18,Private,183930,High-school,9,Single,Service/Manual,Own-child,White,Male,0,0,12,US,<50K
179,33,Private,37274,College,13,Married,White-collar,Husband,White,Male,0,0,65,US,<50K
180,44,Govt,181344,Some-college,10,Married,White-collar,Husband,Black,Male,0,0,38,US,>50K
181,43,Private,114580,Some-college,10,Separated,Clerical/Sales,Not-in-family,White,Female,0,0,40,US,<50K
182,30,Private,633742,Some-college,10,Single,Blue-collar,Not-in-family,Black,Male,0,0,45,US,<50K
183,40,Private,286370,Middle-school,4,Married,Blue-collar,Husband,White,Male,0,0,40,Non-US,>50K
184,37,Govt,29054,Some-college,10,Married,Clerical/Sales,Husband,White,Male,0,0,42,US,>50K
185,34,Private,304030,High-school,9,Married,Clerical/Sales,Husband,Black,Male,0,0,40,US,<50K
186,41,Self_emp,143129,College,13,Separated,White-collar,Not-in-family,White,Female,0,0,40,US,<50K
187,53,null,135105,College,13,Separated,null,Not-in-family,White,Female,0,0,50,US,<50K
188,31,Private,99928,College,14,Married,White-collar,Wife,White,Female,0,0,50,US,<50K
189,58,Govt,109567,College,16,Married,White-collar,Husband,White,Male,0,0,1,US,>50K
190,38,Private,155222,Some-college,10,Separated,Blue-collar,Not-in-family,Black,Female,0,0,28,US,<50K
191,24,Private,159567,Some-college,10,Married,Blue-collar,Husband,White,Male,0,0,40,US,<50K
192,41,Govt,523910,College,13,Married,Blue-collar,Husband,Black,Male,0,0,40,US,<50K
193,47,Private,120939,Some-college,10,Married,White-collar,Husband,White,Male,0,0,45,US,<50K
194,41,Govt,130760,College,13,Married,White-collar,Husband,White,Male,0,0,24,US,<50K
195,23,Private,197387,Middle-school,3,Married,Blue-collar,Other-relative,White,Male,0,0,40,Non-US,<50K
196,36,Private,99374,Some-college,10,Separated,Blue-collar,Not-in-family,White,Male,0,0,40,US,<50K
197,40,Govt,56795,College,14,Single,White-collar,Not-in-family,White,Female,14084,0,55,US,>50K
198,35,Private,138992,College,14,Married,White-collar,Other-relative,White,Male,7298,0,40,US,>50K
199,24,Self_emp,32921,High-school,9,Single,Clerical/Sales,Not-in-family,White,Male,0,0,40,US,<50K
200,26,Private,397317,College,14,Single,White-collar,Not-in-family,White,Female,0,1876,40,US,<50K
201,19,null,170653,High-school,9,Single,null,Own-child,White,Male,0,0,40,Non-US,<50K
202,51,Private,259323,College,13,Married,White-collar,Husband,White,Male,0,0,50,US,>50K
203,42,Govt,254817,Some-college,10,Single,White-collar,Not-in-family,White,Female,0,1340,40,US,<50K
204,37,Govt,48211,High-school,9,Separated,Clerical/Sales,Unmarried,White,Female,0,0,35,US,<50K
205,18,Private,140164,High-school,7,Single,Clerical/Sales,Own-child,White,Female,0,0,40,US,<50K
206,36,Private,128757,College,13,Married,Service/Manual,Husband,Black,Male,7298,0,36,US,>50K
207,35,Private,36270,High-school,9,Separated,Blue-collar,Not-in-family,White,Male,0,0,60,US,<50K
208,58,Self_emp,210563,High-school,9,Married,Clerical/Sales,Wife,White,Female,15024,0,35,US,>50K
209,17,Private,65368,High-school,7,Single,Clerical/Sales,Own-child,White,Female,0,0,12,US,<50K
210,44,Govt,160943,High-school,9,Married,Blue-collar,Husband,Black,Male,0,0,40,US,<50K
211,37,Private,208358,High-school,9,Married,Blue-collar,Husband,White,Male,0,0,40,US,>50K
212,35,Private,153790,Some-college,10,Single,Clerical/Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,US,<50K
213,60,Private,85815,High-school,9,Married,Blue-collar,Husband,Asian-Pac-Islander,Male,0,0,40,US,<50K
214,54,Self_emp,125417,Middle-school,4,Married,Blue-collar,Husband,White,Male,0,0,40,US,>50K
215,37,Private,635913,College,13,Single,White-collar,Not-in-family,Black,Male,0,0,60,US,>50K
216,50,Private,313321,Some-college,12,Separated,Clerical/Sales,Not-in-family,White,Female,0,0,40,US,<50K
217,38,Private,182609,College,13,Married,Clerical/Sales,Husband,White,Male,0,0,50,Non-US,<50K
218,45,Private,109434,College,13,Married,White-collar,Husband,White,Male,0,0,55,US,<50K
219,25,Private,255004,High-school,6,Single,Blue-collar,Not-in-family,White,Male,0,0,40,US,<50K
220,31,Private,197860,Some-college,10,Married,Blue-collar,Husband,White,Male,0,0,40,US,<50K
221,64,null,187656,Lower-school,2,Separated,null,Not-in-family,White,Male,0,0,40,US,<50K
222,90,Private,51744,High-school,9,Single,Service/Manual,Not-in-family,Black,Male,0,2206,40,US,<50K
223,54,Private,176681,High-school,9,Married,Clerical/Sales,Husband,Black,Male,0,0,20,US,<50K
224,53,Govt,140359,Lower-school,1,Single,Blue-collar,Not-in-family,White,Female,0,0,35,US,<50K
225,18,Private,243313,High-school,9,Single,Clerical/Sales,Own-child,White,Female,0,0,40,US,<50K
226,60,null,24215,High-school,6,Separated,null,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,US,<50K
227,66,Self_emp,167687,High-school,9,Married,Service/Manual,Husband,White,Male,1409,0,50,US,<50K
228,75,Private,314209,Some-college,11,Separated,Clerical/Sales,Not-in-family,White,Female,0,0,20,Non-US,<50K
229,65,Private,176796,High-school,9,Separated,Clerical/Sales,Not-in-family,White,Female,0,0,40,US,<50K
230,35,Private,538583,High-school,7,Separated,Blue-collar,Not-in-family,Black,Male,3674,0,40,US,<50K
231,41,Private,130408,High-school,9,Separated,Clerical/Sales,Unmarried,Black,Female,0,0,38,US,<50K
232,25,Private,159732,Some-college,10,Single,Clerical/Sales,Not-in-family,White,Male,0,0,42,US,<50K
233,33,Private,110978,Some-college,10,Separated,Blue-collar,Other-relative,Other,Female,0,0,40,US,<50K
234,28,Private,76714,College,15,Single,White-collar,Not-in-family,White,Male,0,0,55,US,>50K
235,59,Govt,268700,High-school,9,Married,Service/Manual,Husband,White,Male,0,0,40,US,<50K
236,40,Govt,170525,Some-college,10,Single,Clerical/Sales,Not-in-family,White,Female,0,0,38,US,<50K
237,41,Private,180138,College,13,Married,White-collar,Husband,White,Male,0,0,50,Non-US,>50K
238,38,Govt,115076,College,14,Married,White-collar,Husband,White,Male,0,0,70,US,>50K
239,23,Private,115458,High-school,9,Single,Blue-collar,Own-child,White,Male,0,0,40,US,<50K
240,40,Private,347890,College,13,Married,White-collar,Husband,White,Male,0,0,40,US,>50K
241,41,Self_emp,196001,High-school,9,Married,Service/Manual,Wife,White,Female,0,0,20,US,<50K
242,24,Govt,273905,Some-college,12,Married,Blue-collar,Husband,White,Male,0,0,50,US,<50K
243,20,null,119156,Some-college,10,Single,null,Own-child,White,Male,0,0,20,US,<50K
244,38,Private,179488,Some-college,10,Separated,Blue-collar,Not-in-family,White,Male,0,1741,40,US,<50K
245,56,Private,203580,High-school,9,Married,Clerical/Sales,Husband,White,Male,0,0,35,Non-US,<50K
246,58,Private,236596,High-school,9,Married,Clerical/Sales,Husband,White,Male,0,0,45,US,>50K
247,32,Private,183916,High-school,9,Single,Service/Manual,Not-in-family,White,Female,0,0,34,US,<50K
248,40,Private,207578,Some-college,12,Married,White-collar,Husband,White,Male,0,1977,60,US,>50K
249,45,Private,153141,High-school,9,Married,Clerical/Sales,Husband,White,Male,0,0,40,Non-US,<50K
250,41,Private,112763,College,15,Married,White-collar,Wife,White,Female,0,0,40,US,>50K
251,42,Private,390781,College,13,Married,Clerical/Sales,Wife,Black,Female,0,0,40,US,<50K
252,59,Govt,171328,High-school,6,Separated,Service/Manual,Unmarried,Black,Female,0,0,30,US,<50K
253,19,Govt,27382,Some-college,10,Single,Clerical/Sales,Own-child,White,Male,0,0,40,US,<50K
254,58,Private,259014,Some-college,10,Single,Blue-collar,Not-in-family,White,Male,0,0,20,US,<50K
255,42,Self_emp,303044,High-school,9,Married,Service/Manual,Husband,Asian-Pac-Islander,Male,0,0,40,Non-US,>50K
256,20,Private,117789,High-school,9,Single,Service/Manual,Own-child,White,Female,0,0,40,US,<50K
257,32,Private,172579,High-school,9,Separated,Service/Manual,Not-in-family,White,Female,0,0,30,US,<50K
258,45,Private,187666,Some-college,11,Separated,White-collar,Not-in-family,White,Female,0,0,45,US,<50K
259,50,Private,204518,Middle-school,4,Separated,Blue-collar,Not-in-family,White,Male,0,0,40,US,<50K
260,36,Private,150042,College,13,Separated,White-collar,Own-child,White,Female,0,0,40,US,<50K
261,45,Private,98092,High-school,9,Married,Clerical/Sales,Husband,White,Male,0,0,60,US,<50K
262,17,Private,245918,High-school,7,Single,Service/Manual,Own-child,White,Male,0,0,12,US,<50K
263,59,Private,146013,Some-college,10,Married,Clerical/Sales,Husband,White,Male,4064,0,40,US,<50K
264,26,Private,378322,High-school,7,Married,Blue-collar,Husband,White,Male,0,0,40,US,<50K
265,37,Self_emp,257295,Some-college,10,Married,White-collar,Husband,Asian-Pac-Islander,Male,0,0,75,Non-US,>50K
266,19,null,218956,Some-college,10,Single,null,Own-child,White,Male,0,0,24,Non-US,<50K
267,64,Private,21174,High-school,9,Married,White-collar,Husband,White,Male,0,0,40,US,>50K
268,33,Private,185480,College,13,Single,White-collar,Not-in-family,White,Female,0,0,45,US,<50K
269,33,Private,222205,High-school,9,Married,Blue-collar,Wife,White,Female,0,0,40,US,>50K
270,61,Private,69867,High-school,9,Married,White-collar,Husband,White,Male,0,0,40,US,>50K
271,17,Private,191260,High-school,5,Single,Service/Manual,Own-child,White,Male,1055,0,24,US,<50K
272,50,Self_emp,30653,College,14,Married,Service/Manual,Husband,White,Male,2407,0,98,US,<50K
273,27,Govt,209109,College,14,Single,White-collar,Own-child,White,Male,0,0,35,US,<50K
274,30,Private,70377,High-school,9,Separated,White-collar,Own-child,White,Female,0,0,40,US,<50K
275,43,Private,477983,High-school,9,Married,Blue-collar,Husband,Black,Male,0,0,40,US,<50K
276,44,Private,170924,Some-college,10,Married,Blue-collar,Husband,White,Male,7298,0,40,US,>50K
277,35,Private,190174,Some-college,10,Single,White-collar,Not-in-family,White,Female,0,0,40,US,<50K
278,25,Private,193787,Some-college,10,Single,White-collar,Own-child,White,Female,0,0,40,US,<50K
279,24,Private,279472,Some-college,10,Married,Blue-collar,Wife,White,Female,7298,0,48,US,>50K
